test
Iter,alpha,theta,kappa,log(sigma_z),log(lambda),mu_x,log(sigma_x),log(mu_z)
1,0.08000652,0.020100104,-0.029814748,-2.1168787,-4.6030116,-3.1109836,1.0108764,0.5266943
2,0.07976212,0.020071283,-0.02979607,-2.1195786,-4.604812,-3.1134548,1.0267191,0.51874703
3,0.07964364,0.019983742,-0.029855182,-2.1041996,-4.5838146,-3.1056356,1.0269864,0.5352654
4,0.07965665,0.020098243,-0.029976405,-2.1142585,-4.570395,-3.1048994,1.0239866,0.5405005
5,0.0798087,0.020156369,-0.029875582,-2.1293707,-4.578574,-3.1090238,1.0322708,0.5329978
6,0.0798228,0.020392455,-0.02982177,-2.1249187,-4.5791125,-3.1054873,1.0252465,0.5442599
7,0.079694115,0.020380612,-0.029657146,-2.117023,-4.590794,-3.1105804,1.0216472,0.56948835
8,0.07981569,0.0203479,-0.029644582,-2.1285388,-4.5898733,-3.0945034,1.0100138,0.5741231
9,0.07971838,0.020403523,-0.029803526,-2.126815,-4.583831,-3.0864801,1.021417,0.57966024
10,0.079782374,0.02037292,-0.02972049,-2.1355364,-4.5880136,-3.0963593,1.0161934,0.55963993
11,0.07969022,0.020435475,-0.029713238,-2.142645,-4.5759597,-3.0930142,1.0058045,0.572782
12,0.079584695,0.02054209,-0.029702855,-2.1299603,-4.5696626,-3.0754151,1.0133697,0.59078175
13,0.07981377,0.020498978,-0.029578041,-2.1304185,-4.566009,-3.0636194,1.0232719,0.5928193
14,0.07993414,0.020444125,-0.029384939,-2.1394112,-4.5732236,-3.0553443,1.0159994,0.5964996
15,0.08010524,0.020456087,-0.029322024,-2.155395,-4.5695195,-3.0703151,1.0122765,0.59567934
16,0.08020007,0.020440776,-0.029454034,-2.1505392,-4.5823474,-3.073172,1.0011396,0.595011
17,0.080366574,0.020433443,-0.02948106,-2.1471007,-4.5945945,-3.0771062,0.99671096,0.5895708
18,0.08039111,0.020411061,-0.029468006,-2.1340744,-4.584647,-3.0738845,1.0022984,0.5848087
19,0.08031311,0.020252533,-0.02959245,-2.135969,-4.601663,-3.0689218,0.9989943,0.5870195
20,0.08037102,0.0202869,-0.029440815,-2.1135428,-4.617004,-3.0698757,1.0061145,0.60102046
21,0.08026126,0.020295484,-0.029391576,-2.1198714,-4.6223845,-3.050858,0.99664384,0.6096041
22,0.08023555,0.020252729,-0.029448617,-2.120273,-4.628211,-3.0477953,1.0220133,0.6086454
23,0.080222204,0.020276004,-0.029446214,-2.1162312,-4.63151,-3.0436735,1.0412648,0.6045391
24,0.08007595,0.020304857,-0.029574841,-2.1135826,-4.6479373,-3.0374086,1.0391902,0.6193179
25,0.079966724,0.020256024,-0.029534603,-2.1172986,-4.6482368,-3.0438535,1.0313545,0.61648184
26,0.07993619,0.020198073,-0.029588832,-2.1167016,-4.6485057,-3.050388,1.0142337,0.62082565
